Agency,Service
"Small Business Services, Department of",QUALITY ASSURANCE SUPPORT 
"Social Service, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Social Service, Department of",NYC.GOV
"Social Services, Department of /HRA",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Social Services, Department of /HRA",BUSINESS ANALYSIS
"Social Services, Department of /HRA",BUSINESS APPLICATION DEVELOPMENT 
"Social Services, Department of /HRA",BUSINESS-AS-USUAL (ANALYTICS)
"Social Services, Department of /HRA",MAPPING/LOCATION SERVICES
"Social Services, Department of /HRA",MOBILE DEVELOPMENT 
"Social Services, Department of /HRA",PROJECT MANAGEMENT 
"Social Services, Department of /HRA",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Social Services, Department of /HRA",SOLUTION DEVELOPMENT (ANALYTICS)
"Social Services, Department of /HRA",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Social Services, Department of /HRA",NYC.GOV
"Social Services, Department of /HRA",WEB SINGLE SIGN-ON
"Social Services, Department of /HRA",IDENTITY MANAGEMENT 
"Social Services, Department of /HRA",NYC.ID/IDENTITY MANAGEMENT 
"Social Services, Department of /HRA",PASSWORD SELF-SERVICE
"Social Services, Department of /HRA",SITE-TO-SITE VPN
"Social Services, Department of /HRA",SOFTWARE SECURITY ASSURANCE
"Social Services, Department of /HRA",SSL REMOTE ACCESS
"Social Services, Department of /HRA",CDWG - IT GOODS AND RELATED SERVICES 
"Social Services, Department of /HRA",CISCO MAINTENANCE CONTRACT
"Social Services, Department of /HRA",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Social Services, Department of /HRA",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Social Services, Department of /HRA",QUALITY CONTROL SERVICES (QC)
"Social Services, Department of /HRA",SYSTEMS INTEGRATION SERVICES (SI)
"Social Services, Department of /HRA",APPLICATION SUPPORT
"Social Services, Department of /HRA",PROVISIONING
"Social Services, Department of /HRA",SELF-PROVISIONING
"Social Services, Department of /HRA",MAINFRAME
"Social Services, Department of /HRA",SECURE FILE TRANSFER 
"Social Services, Department of /HRA",SITE B (STERLING FOREST) MAINFRAME
"Social Services, Department of /HRA",WORKSHOPS
"Social Services, Department of /HRA",CITYNET
"Social Services, Department of /HRA",ADVISORY SERVICES 
"Social Services, Department of /HRA",CLOUD REVIEW
"Social Services, Department of /HRA",ADOBE ETLA
"Social Services, Department of /HRA",VMWARE ELA
"Social Services, Department of /HRA",MICROSOFT ELA
"Social Services, Department of /HRA",MOBILE DEVICES AND SERVICES
"Social Services, Department of /HRA",TELECOMM CONTRACT
"Social Services, Department of /HRA",VIDEO CONFERENCING SOLUTIONS
"Social Services, Department of /HRA",FUNCTIONAL TESTING
"Social Services, Department of /HRA",PERFORMANCE TEST
"Social Services, Department of /HRA",QUALITY ASSURANCE SUPPORT 
"Social Services, Department of /DHS",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Social Services, Department of /DHS",BUSINESS ANALYSIS
"Social Services, Department of /DHS",BUSINESS APPLICATION DEVELOPMENT 
"Social Services, Department of /DHS",BUSINESS-AS-USUAL (ANALYTICS)
"Social Services, Department of /DHS",MAPPING/LOCATION SERVICES
"Social Services, Department of /DHS",PROJECT MANAGEMENT 
"Social Services, Department of /DHS",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Social Services, Department of /DHS",SOLUTION DEVELOPMENT (ANALYTICS)
"Social Services, Department of /DHS",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Social Services, Department of /DHS",NYC.GOV
"Social Services, Department of /DHS",WEB SINGLE SIGN-ON
"Social Services, Department of /DHS",IDENTITY MANAGEMENT 
"Social Services, Department of /DHS",NYC.ID/IDENTITY MANAGEMENT 
"Social Services, Department of /DHS",PASSWORD SELF-SERVICE
"Social Services, Department of /DHS",SITE-TO-SITE VPN
"Social Services, Department of /DHS",SOFTWARE SECURITY ASSURANCE
"Social Services, Department of /DHS",SSL REMOTE ACCESS
"Social Services, Department of /DHS",CDWG - IT GOODS AND RELATED SERVICES 
"Social Services, Department of /DHS",CISCO MAINTENANCE CONTRACT
"Social Services, Department of /DHS",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Social Services, Department of /DHS",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Social Services, Department of /DHS",QUALITY CONTROL SERVICES (QC)
"Social Services, Department of /DHS",SYSTEMS INTEGRATION SERVICES (SI)
"Social Services, Department of /DHS",SERVICE DESK
"Social Services, Department of /DHS",PROVISIONING
"Social Services, Department of /DHS",MAINFRAME
"Social Services, Department of /DHS",SECURE FILE TRANSFER 
"Social Services, Department of /DHS",SITE B (STERLING FOREST) MAINFRAME
"Social Services, Department of /DHS",CABLE INFRASTRUCTURE
"Social Services, Department of /DHS",CITYNET
"Social Services, Department of /DHS",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Social Services, Department of /DHS",ADVISORY SERVICES 
"Social Services, Department of /DHS",ADOBE ETLA
"Social Services, Department of /DHS",VMWARE ELA
"Social Services, Department of /DHS",MICROSOFT ELA
"Social Services, Department of /DHS",MOBILE DEVICES AND SERVICES
"Social Services, Department of /DHS",TELECOMM CONTRACT
"Social Services, Department of /DHS",VIDEO CONFERENCING SOLUTIONS
"Social Services, Department of /DHS",VoIP
"Social Services, Department of /DHS",FUNCTIONAL TESTING
"Social Services, Department of /DHS",PERFORMANCE TEST
Taxi & Limousine Commission,BUSINESS ANALYSIS
Taxi & Limousine Commission,BUSINESS APPLICATION DEVELOPMENT 
Taxi & Limousine Commission,BUSINESS-AS-USUAL (ANALYTICS)
Taxi & Limousine Commission,HUMAN CENTERED DESIGN
Taxi & Limousine Commission,PROJECT MANAGEMENT 
Taxi & Limousine Commission,SOLUTION DEVELOPMENT (ANALYTICS)
Taxi & Limousine Commission,WEBSITE DESIGN BUILD AND MAINTENANCE  
Taxi & Limousine Commission,NYC.GOV
Taxi & Limousine Commission,IDENTITY MANAGEMENT 
Taxi & Limousine Commission,PASSWORD SELF-SERVICE
Taxi & Limousine Commission,SITE-TO-SITE VPN
Taxi & Limousine Commission,SOFTWARE SECURITY ASSURANCE
Taxi & Limousine Commission,SSL REMOTE ACCESS
Taxi & Limousine Commission,CDWG - IT GOODS AND RELATED SERVICES 
Taxi & Limousine Commission,CISCO MAINTENANCE CONTRACT
Taxi & Limousine Commission,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Taxi & Limousine Commission,APPLICATION SUPPORT
Taxi & Limousine Commission,PRIMARY DATA CENTER
Taxi & Limousine Commission,EMAIL
Taxi & Limousine Commission,PROVISIONING
Taxi & Limousine Commission,MAINFRAME
Taxi & Limousine Commission,LYNC 2013
Taxi & Limousine Commission,SECURE FILE TRANSFER 
Taxi & Limousine Commission,SHAREPOINT
Taxi & Limousine Commission,SITE B (STERLING FOREST) MAINFRAME
Taxi & Limousine Commission,WORKSHOPS
Taxi & Limousine Commission,CABLE INFRASTRUCTURE
Taxi & Limousine Commission,CITYNET
Taxi & Limousine Commission,DATA CONNECTIVITY (CIRCUIT ORDERS)
Taxi & Limousine Commission,SECURE WIRELESS (LAN) SERVICES
Taxi & Limousine Commission,ADVISORY SERVICES 
Taxi & Limousine Commission,CLOUD REVIEW
Taxi & Limousine Commission,USER EXPERIENCE DESIGN
Taxi & Limousine Commission,ADOBE ETLA
Taxi & Limousine Commission,VMWARE ELA
Taxi & Limousine Commission,MICROSOFT ELA
Taxi & Limousine Commission,CONTACT CENTER SOLUTIONS
Taxi & Limousine Commission,MOBILE DEVICES AND SERVICES
Taxi & Limousine Commission,TELECOMM CONTRACT
Taxi & Limousine Commission,TWO-WAY RADIO COMMUNICATION
Taxi & Limousine Commission,VoIP
Taxi & Limousine Commission,FUNCTIONAL TESTING
Taxi & Limousine Commission,PERFORMANCE TEST
Taxi & Limousine Commission,QUALITY ASSURANCE SUPPORT 
"Transportation, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Transportation, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Transportation, Department of",MAPPING/LOCATION SERVICES
"Transportation, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Transportation, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Transportation, Department of",NYC.GOV
"Transportation, Department of",IDENTITY MANAGEMENT 
"Transportation, Department of",PASSWORD SELF-SERVICE
"Transportation, Department of",SITE-TO-SITE VPN
"Transportation, Department of",SOFTWARE SECURITY ASSURANCE
"Transportation, Department of",SSL REMOTE ACCESS
"Transportation, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Transportation, Department of",CISCO MAINTENANCE CONTRACT
"Transportation, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Transportation, Department of",QUALITY CONTROL SERVICES (QC)
"Transportation, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Transportation, Department of",PROVISIONING
"Transportation, Department of",MAINFRAME
"Transportation, Department of",SECURE FILE TRANSFER 
"Transportation, Department of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Transportation, Department of",WORKSHOPS
"Transportation, Department of",CITYNET
"Transportation, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Transportation, Department of",CLOUD REVIEW
"Transportation, Department of",ADOBE ETLA
"Transportation, Department of",VMWARE ELA
"Transportation, Department of",MICROSOFT ELA
"Transportation, Department of",MOBILE DEVICES AND SERVICES
"Transportation, Department of",TELECOMM CONTRACT
"Veteran's Services, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Veteran's Services, Department of",PROJECT MANAGEMENT 
"Veteran's Services, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Veteran's Services, Department of",NYC.GOV
"Veteran's Services, Department of",SITE-TO-SITE VPN
"Veteran's Services, Department of",SOFTWARE SECURITY ASSURANCE
"Veteran's Services, Department of",SSL REMOTE ACCESS
"Veteran's Services, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Veteran's Services, Department of",PRIMARY DATA CENTER
"Veteran's Services, Department of",EMAIL
"Veteran's Services, Department of",PROVISIONING
"Veteran's Services, Department of",SHAREPOINT
"Veteran's Services, Department of",CABLE INFRASTRUCTURE
"Veteran's Services, Department of",CITYNET
"Veteran's Services, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Veteran's Services, Department of",NETWORK LAN SUPPORT
"Veteran's Services, Department of",SECURE WIRELESS (LAN) SERVICES
"Veteran's Services, Department of",CLOUD REVIEW
"Veteran's Services, Department of",ADOBE ETLA
"Veteran's Services, Department of",MICROSOFT ELA
"Veteran's Services, Department of",MOBILE DEVICES AND SERVICES
"Youth And Community Development, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Youth And Community Development, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Youth And Community Development, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Youth And Community Development, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Youth And Community Development, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Youth And Community Development, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Youth And Community Development, Department of",NYC.GOV
"Youth And Community Development, Department of",WEB SINGLE SIGN-ON
"Youth And Community Development, Department of",IDENTITY MANAGEMENT 
"Youth And Community Development, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Youth And Community Development, Department of",PASSWORD SELF-SERVICE
"Youth And Community Development, Department of",SITE-TO-SITE VPN
"Youth And Community Development, Department of",SOFTWARE SECURITY ASSURANCE
"Youth And Community Development, Department of",SSL REMOTE ACCESS
"Youth And Community Development, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Youth And Community Development, Department of",CISCO MAINTENANCE CONTRACT
"Youth And Community Development, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Youth And Community Development, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Youth And Community Development, Department of",SERVICE DESK
"Youth And Community Development, Department of",PRIMARY DATA CENTER
"Youth And Community Development, Department of",EMAIL
"Youth And Community Development, Department of",PROVISIONING
"Youth And Community Development, Department of",SELF-PROVISIONING
"Youth And Community Development, Department of",SECURE FILE TRANSFER 
"Youth And Community Development, Department of",SHAREPOINT
"Youth And Community Development, Department of",SITE B (STERLING FOREST) MAINFRAME
"Youth And Community Development, Department of",WORKSHOPS
"Youth And Community Development, Department of",CABLE INFRASTRUCTURE
"Youth And Community Development, Department of",CITYNET
"Youth And Community Development, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Youth And Community Development, Department of",SECURE WIRELESS (LAN) SERVICES
"Youth And Community Development, Department of",VMWARE ELA
"Youth And Community Development, Department of",MICROSOFT ELA
"Youth And Community Development, Department of",CONTACT CENTER SOLUTIONS
"Youth And Community Development, Department of",MOBILE DEVICES AND SERVICES
"Youth And Community Development, Department of",TELECOMM CONTRACT
"Youth And Community Development, Department of",VIDEO CONFERENCING SOLUTIONS
"Youth And Community Development, Department of",VoIP
Board of Health (DoHMH),BUSINESS APPLICATION DEVELOPMENT 
Board of Health (DoHMH),BUSINESS-AS-USUAL (ANALYTICS)
Board of Health (DoHMH),MAPPING/LOCATION SERVICES
Board of Health (DoHMH),SOLUTION DEVELOPMENT (ANALYTICS)
Board of Health (DoHMH),SITE-TO-SITE VPN
Board of Health (DoHMH),SOFTWARE SECURITY ASSURANCE
Board of Health (DoHMH),SSL REMOTE ACCESS
Board of Health (DoHMH),MAINFRAME
Board of Health (DoHMH),SITE B (STERLING FOREST) MAINFRAME
Board of Health (DoHMH),ADOBE ETLA
Board of Health (DoHMH),VMWARE ELA
Board of Health (DoHMH),MOBILE DEVICES AND SERVICES
Campaign Finance Board,SITE-TO-SITE VPN
Campaign Finance Board,SOFTWARE SECURITY ASSURANCE
Campaign Finance Board,SSL REMOTE ACCESS
Campaign Finance Board,CDWG - IT GOODS AND RELATED SERVICES 
Campaign Finance Board,CISCO MAINTENANCE CONTRACT
Campaign Finance Board,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Campaign Finance Board,PRIMARY DATA CENTER
Campaign Finance Board,MAINFRAME
Campaign Finance Board,CABLE INFRASTRUCTURE
Campaign Finance Board,CITYNET
Campaign Finance Board,DATA CONNECTIVITY (CIRCUIT ORDERS)
Campaign Finance Board,CLOUD REVIEW
Campaign Finance Board,ADOBE ETLA
Campaign Finance Board,MICROSOFT ELA
Campaign Finance Board,MOBILE DEVICES AND SERVICES
Campaign Finance Board,VoIP
Civilian Complaint Review Board,BUSINESS APPLICATION DEVELOPMENT 
Civilian Complaint Review Board,PROJECT MANAGEMENT 
Civilian Complaint Review Board,WEBSITE DESIGN BUILD AND MAINTENANCE  
Civilian Complaint Review Board,NYC.GOV
Civilian Complaint Review Board,SITE-TO-SITE VPN
Civilian Complaint Review Board,SOFTWARE SECURITY ASSURANCE
Civilian Complaint Review Board,SSL REMOTE ACCESS
Civilian Complaint Review Board,CISCO MAINTENANCE CONTRACT
Civilian Complaint Review Board,APPLICATION SUPPORT
Civilian Complaint Review Board,PRIMARY DATA CENTER
Civilian Complaint Review Board,EMAIL
Civilian Complaint Review Board,PROVISIONING
Civilian Complaint Review Board,"SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
Civilian Complaint Review Board,WORKSHOPS
Civilian Complaint Review Board,CABLE INFRASTRUCTURE
Civilian Complaint Review Board,CITYNET
Civilian Complaint Review Board,DATA CONNECTIVITY (CIRCUIT ORDERS)
Civilian Complaint Review Board,ADVISORY SERVICES 
Civilian Complaint Review Board,CLOUD REVIEW
Civilian Complaint Review Board,ADOBE ETLA
Civilian Complaint Review Board,MICROSOFT ELA
Civilian Complaint Review Board,MOBILE DEVICES AND SERVICES
Civilian Complaint Review Board,VoIP
Community Boards,BUSINESS APPLICATION DEVELOPMENT 
Community Boards,PROJECT MANAGEMENT 
Community Boards,WEBSITE DESIGN BUILD AND MAINTENANCE  
Community Boards,NYC.GOV
Community Boards,SITE-TO-SITE VPN
Community Boards,SOFTWARE SECURITY ASSURANCE
Community Boards,SSL REMOTE ACCESS
Community Boards,DESKTOP SUPPORT
Community Boards,EMAIL
Community Boards,LYNC 2013
Community Boards,SECURE FILE TRANSFER 
Community Boards,WP ENGINE PLATFORM
Community Boards,CABLE INFRASTRUCTURE
Community Boards,CITYNET
Community Boards,DATA CONNECTIVITY (CIRCUIT ORDERS)
Community Boards,NETWORK LAN SUPPORT
Community Boards,NEW YORK WIRELESS NETWORK (NYCWIN)
Community Boards,USER EXPERIENCE DESIGN
Community Boards,ADOBE ETLA
Community Boards,MICROSOFT ELA
Community Boards,MOBILE DEVICES AND SERVICES
Community Boards,TWO-WAY RADIO COMMUNICATION
Community Boards,VoIP
Conflicts of Interest Board,BUSINESS ANALYSIS
Conflicts of Interest Board,BUSINESS APPLICATION DEVELOPMENT 
Conflicts of Interest Board,PROJECT MANAGEMENT 
Conflicts of Interest Board,WEBSITE DESIGN BUILD AND MAINTENANCE  
Conflicts of Interest Board,NYC.GOV
Conflicts of Interest Board,SITE-TO-SITE VPN
Conflicts of Interest Board,SOFTWARE SECURITY ASSURANCE
Conflicts of Interest Board,SSL REMOTE ACCESS
Conflicts of Interest Board,APPLICATION SUPPORT
Conflicts of Interest Board,PROVISIONING
Conflicts of Interest Board,SECURE FILE TRANSFER 
Conflicts of Interest Board,WORKSHOPS
Conflicts of Interest Board,CABLE INFRASTRUCTURE
Conflicts of Interest Board,CITYNET
Conflicts of Interest Board,DATA CONNECTIVITY (CIRCUIT ORDERS)
Conflicts of Interest Board,NEW YORK WIRELESS NETWORK (NYCWIN)
Conflicts of Interest Board,ADVISORY SERVICES 
Conflicts of Interest Board,CLOUD REVIEW
Conflicts of Interest Board,ADOBE ETLA
Conflicts of Interest Board,VMWARE ELA
Conflicts of Interest Board,MOBILE DEVICES AND SERVICES
Conflicts of Interest Board,TWO-WAY RADIO COMMUNICATION
Conflicts of Interest Board,VoIP
Conflicts of Interest Board,FUNCTIONAL TESTING
"Correction, Board of",PROJECT MANAGEMENT 
"Correction, Board of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Correction, Board of",NYC.GOV
"Correction, Board of",SITE-TO-SITE VPN
"Correction, Board of",SOFTWARE SECURITY ASSURANCE
"Correction, Board of",SSL REMOTE ACCESS
"Correction, Board of",DESKTOP SUPPORT
"Correction, Board of",EMAIL
"Correction, Board of",PROVISIONING
"Correction, Board of",SELF-PROVISIONING
"Correction, Board of",LYNC 2013
"Correction, Board of",SECURE FILE TRANSFER 
"Correction, Board of",CABLE INFRASTRUCTURE
"Correction, Board of",CITYNET
"Correction, Board of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Correction, Board of",NEW YORK WIRELESS NETWORK (NYCWIN)
"Correction, Board of",MICROSOFT ELA
"Correction, Board of",MOBILE DEVICES AND SERVICES
"Correction, Board of",TWO-WAY RADIO COMMUNICATION
"Education Retirement System, Board of",BUSINESS-AS-USUAL (ANALYTICS)
"Education Retirement System, Board of",PROJECT MANAGEMENT 
"Education Retirement System, Board of",SOLUTION DEVELOPMENT (ANALYTICS)
"Education Retirement System, Board of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Education Retirement System, Board of",NYC.GOV
"Education Retirement System, Board of",SITE-TO-SITE VPN
"Education Retirement System, Board of",SOFTWARE SECURITY ASSURANCE
"Education Retirement System, Board of",SSL REMOTE ACCESS
"Education Retirement System, Board of",PROVISIONING
"Education Retirement System, Board of",MAINFRAME
"Education Retirement System, Board of",SITEB SERVICES
"Elections, Board of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Elections, Board of",NYC.GOV
"Elections, Board of",SITE-TO-SITE VPN
"Elections, Board of",SOFTWARE SECURITY ASSURANCE
"Elections, Board of",SSL REMOTE ACCESS
"Elections, Board of",CDWG - IT GOODS AND RELATED SERVICES 
"Elections, Board of",APPLICATION SUPPORT
"Elections, Board of",MAINFRAME
"Elections, Board of",SECURE FILE TRANSFER 
"Elections, Board of",CABLE INFRASTRUCTURE
"Elections, Board of",CITYNET
"Elections, Board of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Elections, Board of",ADOBE ETLA
"Elections, Board of",VMWARE ELA
"Elections, Board of",MICROSOFT ELA
"Elections, Board of",MOBILE DEVICES AND SERVICES
"Elections, Board of",TELECOMM CONTRACT
"Elections, Board of",FUNCTIONAL TESTING
"Employees Retirement System Board of Trustees, NYC",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Employees Retirement System Board of Trustees, NYC",IDENTITY MANAGEMENT 
"Employees Retirement System Board of Trustees, NYC",NYC.ID/IDENTITY MANAGEMENT 
"Employees Retirement System Board of Trustees, NYC",PASSWORD SELF-SERVICE
"Employees Retirement System Board of Trustees, NYC",SITE-TO-SITE VPN
"Employees Retirement System Board of Trustees, NYC",SOFTWARE SECURITY ASSURANCE
"Employees Retirement System Board of Trustees, NYC",SSL REMOTE ACCESS
"Employees Retirement System Board of Trustees, NYC",SITE B (STERLING FOREST) MAINFRAME
"Employees Retirement System Board of Trustees, NYC",CABLE INFRASTRUCTURE
"Employees Retirement System Board of Trustees, NYC",CITYNET
"Employees Retirement System Board of Trustees, NYC",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Employees Retirement System Board of Trustees, NYC",ADOBE ETLA
"Employees Retirement System Board of Trustees, NYC",VMWARE ELA
"Employees Retirement System Board of Trustees, NYC",TELECOMM CONTRACT
Environmental Control Board (OATH),BUSINESS APPLICATION DEVELOPMENT 
Environmental Control Board (OATH),BUSINESS-AS-USUAL (ANALYTICS)
Environmental Control Board (OATH),SOLUTION DEVELOPMENT (ANALYTICS)
Environmental Control Board (OATH),WEBSITE DESIGN BUILD AND MAINTENANCE  
Environmental Control Board (OATH),NYC.GOV
Environmental Control Board (OATH),SITE-TO-SITE VPN
Environmental Control Board (OATH),SOFTWARE SECURITY ASSURANCE
Environmental Control Board (OATH),SSL REMOTE ACCESS
Environmental Control Board (OATH),CISCO MAINTENANCE CONTRACT
Environmental Control Board (OATH),INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Environmental Control Board (OATH),DATA EXCHANGE
Environmental Control Board (OATH),EMAIL
Environmental Control Board (OATH),PROVISIONING
Environmental Control Board (OATH),MAINFRAME
Environmental Control Board (OATH),CABLE INFRASTRUCTURE
Environmental Control Board (OATH),CITYNET
Environmental Control Board (OATH),DATA CONNECTIVITY (CIRCUIT ORDERS)
Environmental Control Board (OATH),SECURE WIRELESS (LAN) SERVICES
Environmental Control Board (OATH),ADOBE ETLA
Environmental Control Board (OATH),VMWARE ELA
Environmental Control Board (OATH),CONTACT CENTER SOLUTIONS
Environmental Control Board (OATH),VIDEO CONFERENCING SOLUTIONS
Environmental Control Board (OATH),VoIP
In-Rem foreclosure Release Board (DOF),APPLICATION AUTHENTICATION AND AUTHORIZATION
In-Rem foreclosure Release Board (DOF),WEB SINGLE SIGN-ON
In-Rem foreclosure Release Board (DOF),IDENTITY MANAGEMENT 
In-Rem foreclosure Release Board (DOF),NYC.ID/IDENTITY MANAGEMENT 
In-Rem foreclosure Release Board (DOF),PASSWORD SELF-SERVICE
In-Rem foreclosure Release Board (DOF),SITE-TO-SITE VPN
In-Rem foreclosure Release Board (DOF),SOFTWARE SECURITY ASSURANCE
In-Rem foreclosure Release Board (DOF),SSL REMOTE ACCESS
Loft Board (HPD),BUSINESS APPLICATION DEVELOPMENT 
Loft Board (HPD),WEBSITE DESIGN BUILD AND MAINTENANCE  
Loft Board (HPD),NYC.GOV
Loft Board (HPD),SITE-TO-SITE VPN
Loft Board (HPD),SOFTWARE SECURITY ASSURANCE
Loft Board (HPD),SSL REMOTE ACCESS
Loft Board (HPD),SITEB SERVICES
Procurement Policy Board,WEBSITE DESIGN BUILD AND MAINTENANCE  
Procurement Policy Board,NYC.GOV
Procurement Policy Board,SITE-TO-SITE VPN
Procurement Policy Board,SOFTWARE SECURITY ASSURANCE
Procurement Policy Board,SSL REMOTE ACCESS
Procurement Policy Board,SITE B (STERLING FOREST) MAINFRAME
Rent Guidelines Board,BUSINESS APPLICATION DEVELOPMENT 
Rent Guidelines Board,BUSINESS-AS-USUAL (ANALYTICS)
Rent Guidelines Board,SOLUTION DEVELOPMENT (ANALYTICS)
Rent Guidelines Board,WEBSITE DESIGN BUILD AND MAINTENANCE  
Rent Guidelines Board,NYC.GOV
Rent Guidelines Board,SITE-TO-SITE VPN
Rent Guidelines Board,SOFTWARE SECURITY ASSURANCE
Rent Guidelines Board,SSL REMOTE ACCESS
Rent Guidelines Board,SITE B (STERLING FOREST) MAINFRAME
"Standards And Appeals, Board of",BUSINESS APPLICATION DEVELOPMENT 
"Standards And Appeals, Board of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Standards And Appeals, Board of",NYC.GOV
"Standards And Appeals, Board of",SITE-TO-SITE VPN
"Standards And Appeals, Board of",SOFTWARE SECURITY ASSURANCE
"Standards And Appeals, Board of",SSL REMOTE ACCESS
"Standards And Appeals, Board of",EMAIL
"Standards And Appeals, Board of",SECURE FILE TRANSFER 
"Standards And Appeals, Board of",CABLE INFRASTRUCTURE
"Standards And Appeals, Board of",CITYNET
Water Board (DEP),WEBSITE DESIGN BUILD AND MAINTENANCE  
Water Board (DEP),NYC.GOV
Water Board (DEP),SITE-TO-SITE VPN
Water Board (DEP),SOFTWARE SECURITY ASSURANCE
Water Board (DEP),SSL REMOTE ACCESS
Water Board (DEP),MAINFRAME
Water Board (DEP),VMWARE ELA
Water Board (DEP),MOBILE DEVICES AND SERVICES
Workforce Investment Board (Mayor's Office of Workforce Development),WEBSITE DESIGN BUILD AND MAINTENANCE  
Workforce Investment Board (Mayor's Office of Workforce Development),NYC.GOV
Workforce Investment Board (Mayor's Office of Workforce Development),SITE-TO-SITE VPN
Workforce Investment Board (Mayor's Office of Workforce Development),SOFTWARE SECURITY ASSURANCE
Workforce Investment Board (Mayor's Office of Workforce Development),SSL REMOTE ACCESS
Workforce Investment Board (Mayor's Office of Workforce Development),NEW YORK WIRELESS NETWORK (NYCWIN)
Workforce Investment Board (Mayor's Office of Workforce Development),TWO-WAY RADIO COMMUNICATION
City Planning Commission,WEBSITE DESIGN BUILD AND MAINTENANCE  
City Planning Commission,NYC.GOV
City Planning Commission,SITE-TO-SITE VPN
City Planning Commission,SOFTWARE SECURITY ASSURANCE
City Planning Commission,SSL REMOTE ACCESS
City Planning Commission,MICROSOFT ELA
City Planning Commission,MOBILE DEVICES AND SERVICES
City Planning Commission,VoIP
"Civil Service Commission, City",PROJECT MANAGEMENT 
"Civil Service Commission, City",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Civil Service Commission, City",NYC.GOV
"Civil Service Commission, City",SITE-TO-SITE VPN
"Civil Service Commission, City",SOFTWARE SECURITY ASSURANCE
"Civil Service Commission, City",SSL REMOTE ACCESS
"Civil Service Commission, City",DESKTOP SUPPORT
"Civil Service Commission, City",EMAIL
"Civil Service Commission, City",CABLE INFRASTRUCTURE
"Civil Service Commission, City",CITYNET
"Civil Service Commission, City",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Civil Service Commission, City",NETWORK LAN SUPPORT
"Civil Service Commission, City",TWO-WAY RADIO COMMUNICATION
"Civil Service Commission, City",VoIP
Equal Employment Practices Commission,BUSINESS APPLICATION DEVELOPMENT 
Equal Employment Practices Commission,WEBSITE DESIGN BUILD AND MAINTENANCE  
Equal Employment Practices Commission,NYC.GOV
Equal Employment Practices Commission,SITE-TO-SITE VPN
